show_id,type,title
s1,TV Show,3%
s2,Movie,7:19
s3,Movie,23:59
s4,Movie,9
s5,Movie,21
s6,TV Show,46
s7,Movie,122
s8,Movie,187
s9,Movie,706
s10,Movie,1920
s11,Movie,1922
s12,TV Show,1983
s13,TV Show,1994
s14,Movie,"2,215"
s15,Movie,3022
s16,Movie,1-Oct
s17,TV Show,9-Feb
s18,Movie,22-Jul
s19,Movie,15-Aug
s20,Movie,'89
s21,Movie,​​Kuch Bheege Alfaaz
s22,Movie,​Goli Soda 2
s23,Movie,​Maj Rati ​​Keteki
s24,Movie,​Mayurakshi
s25,TV Show,​SAINT SEIYA: Knights of the Zodiac
s26,Movie,(T)ERROR
s27,TV Show,(Un)Well
s28,Movie,#Alive
s29,Movie,#AnneFrank - Parallel Stories
s30,TV Show,#blackAF
s31,Movie,#cats_the_mewvie
s32,Movie,#FriendButMarried
s33,Movie,#FriendButMarried 2
s34,Movie,#realityhigh
s35,Movie,#Roxy
s36,Movie,#Rucker50
s37,Movie,#Selfie
s38,Movie,#Selfie 69
s39,TV Show,แผนร้ายนายเจ้าเล่ห์
s40,Movie,"¡Ay, mi madre!"
s41,Movie,Çarsi Pazar
s42,Movie,Ég man þig
s43,Movie,Çok Filim Hareketler Bunlar
s44,Movie,Òlòtūré
s45,Movie,Æon Flux
s46,TV Show,Şubat
s47,Movie,1 Chance 2 Dance
s48,Movie,1 Mile to You
s49,Movie,10 Days in Sun City
s50,Movie,10 jours en or
s51,Movie,"10,000 B.C."
s52,TV Show,100 Days My Prince
s53,Movie,100 Days Of Solitude
s54,TV Show,100 Humans
s55,Movie,100 Meters
s56,Movie,100 Things to do Before High School
s57,Movie,100 Years: One Woman's Fight for Justice
s58,Movie,100% Halal
s59,TV Show,100% Hotter
s60,Movie,1000 Rupee Note
s61,Movie,12 ROUND GUN
s62,TV Show,12 Years Promise
s63,Movie,13 Cameras
s64,TV Show,13 Reasons Why
s65,TV Show,13 Reasons Why: Beyond the Reasons
s66,Movie,13 Sins
s67,Movie,13TH
s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay
s69,Movie,14 Blades
s70,Movie,14 Cameras
s71,Movie,14 Minutes from Earth
s72,Movie,16 Blocks
s73,Movie,17 Again
s74,Movie,18 Presents
s75,Movie,1898: Our Last Men in the Philippines
s76,Movie,1BR
s77,Movie,1st Summoning
s78,Movie,2 Alone in Paris
s79,Movie,2 States
s80,Movie,20 Feet From Stardom
s81,TV Show,20 Minutes
